,name,origin_address
42,00302.7f695c69d4cbe06e91cddd2ca7cddf33,"Unknown city, Unknown state, Unknown country"
43,0298.804507b6d4d03a86e53c63249fe70772,"Central, Central and Western District, Hong Kong"
44,01034.925db77dafa8bdaae1cb31e2ed3b05a4,"Unknown city, Unknown state, United States"
45,00216.c07de35b7e7f659e3c0c071b30053afa,"Taipei, Taipei City, Taiwan"
46,01071.d9be48eb5a3359dd72dd7d0e9627fff3,"Vincennes, Indiana, United States"
47,01164.55202a4234914b20004dc7f9264313e5,"Unknown city, Unknown state, United States"
48,00030.0c9cdd9d4025bd55dac02719ec8d29dc,"Suzano, Sao Paulo, Brazil"
49,00027.b7b61e4624a29097cf55b578089c6110,"Unknown city, Henan, China"
50,01048.a8581a98e46532472fe74772b6e3477a,"Parma, Province of Parma, Italy"
51,01369.8ea24235c6c50337d9dcd234e61a5132,"Unknown city, Unknown state, Mexico"
52,00606.f078f6f48ae2e41f553882449f2aa613,"Marikina City, Metro Manila, Philippines"
53,00703.9fd09a1270c8dab92ec5802e917178aa,"Unknown city, Unknown state, Argentina"
54,0357.6ca4760de43f3d29316cf6bb0cab6bf5,"Leeds, Leeds, United Kingdom"
55,00160.66e11a17d619ce33d5a455a87015ee25,"Unknown city, Unknown state, South Korea"
56,00004.bdcc075fa4beb5157b5dd6cd41d8887b,"Unknown city, Unknown state, United States"
57,00481.b6fbd76bcc24999350ae6a3188f3809f,"Unknown city, Unknown state, United States"
58,0016.f9c349935955e1ccc7626270da898445,"Tarrafas, Ceara, Brazil"
59,0213.5f17fdf863726d4704840f86f698d10b,"Unknown city, Unknown state, South Korea"
60,00340.582105f82cc7d1d35e09aacc413853c1,"Unknown city, Unknown state, United States"
61,01177.e6db3bae11ac87679c7f241a2c19b4c7,"Montclair, New Jersey, United States"
62,00552.877d8dbff829787aa8349b433a8421f0,"Unknown city, Unknown state, Unknown country"
63,00459.e71f7a769d6b09c6d75bfbe8711dbbbe,"Tachikawa, Tokyo, Japan"
64,0363.bafc8f5920a1e35acb4b06d6f6daa74c,"Unknown city, Unknown state, United States"
65,00334.a1038f98abb76b403d068afb57bfb290,"South Lake Tahoe, California, United States"
66,00336.92409253178027f58e2c072a7e82791e,"Unknown city, Unknown state, United States"
67,01360.5bf908ff3e674f31061afcb8a6c17a8d,"Unknown city, Unknown state, United States"
68,0335.9822e1787fca0741a8501bdef7e8bc79,"Nerima, Tokyo, Japan"
69,0287.37dd6b1a54993de94495643ead4fd2cf,"Unknown city, Unknown state, United States"
70,01089.b5c513eca6f77a1dcd75d69d5974c583,"Unknown city, Unknown state, Brazil"
71,00356.6420c49ea8ad1c5e4120606f97b60e1e,"Lindon, Utah, United States"
72,0166.a2e4d6ec3078b619ca38927ca69fc94d,"Unknown city, Liaoning, China"
73,01213.7889eb65b4b7f2cde2a9bd3bb9f230dd,"Unknown city, Unknown state, United States"
74,00053.d88d8b162ca1b7108221fb338cd7d0a5,"Birmingham, Alabama, United States"
75,00933.751d91a92c5f2a40baf68615e49b3fc2,"Unknown city, Unknown state, India"
76,00803.2090e821380533ec5541d61fdbdac8e8,"Unknown city, Unknown state, United States"
77,0043.8d93819b95ff90bf2e2b141c2909bfc9,"San Diego, California, United States"
78,00182.5561cb1b6f968e83afabe21d7a28bb37,"Unknown city, Unknown state, Vietnam"
79,01237.245ac1766016b756a3ddb3b463cc9645,"Unknown city, Unknown state, Canada"
80,00245.f129d5e7df2eebd03948bb4f33fa7107,"Unknown city, Unknown state, United States"
81,00514.5c15464cb782de5ddab0408af5888805,"Zapopan, Jalisco, Mexico"
82,0209.59817ef0dc8d05d4b49bd5914fa88afa,"Unknown city, Zhejiang, China"
83,0067.02c6e51107f39ee60453ff8e7372101d,"Castronno, Provincia di Varese, Italy"
84,00287.b0495a4dbdff36654c3b3ee2f92bdbf3,"Torre del Campo, Jaen, Spain"
85,00288.8c8bc71976c3b67d900ebd8eeab8a0f5,"Central, Central and Western District, Hong Kong"
86,00388.a884c42d4423d7e4718db0145b3b9d9b,"Unknown city, Unknown state, Malaysia"
87,00351.fd1b8a6cd42e81125fb38c2660cd9317,"Wiener Neustadt, Lower Austria, Austria"
88,00889.272969152a8ce2d6ece155571e862683,"Atlanta, Georgia, United States"
89,00735.474fd4bc103225c72fd82d88bba48e56,"Unknown city, Unknown state, South Korea"
90,00178.cdecf0f56ddc0bf61e922a131dc806c2,"Unknown city, Unknown state, United States"
91,01013.c6cf4f54eda63230389baccc02702034,"Unknown city, Unknown state, France"
92,00127.17d8ae11fb73ed829ae89847f2c1e9e5,"Unknown city, Unknown state, United States"
93,0312.a0e7f2633bd0ceaddf16fba58be54778,"Elizabethport, New Jersey, United States"
94,00170.33a973aa9bb7d122bdfbd96d44332996,"Unknown city, Unknown state, United States"
95,00139.b2a205ac25d7d907cdfb3f865dbae1ae,"Barquisimeto, Lara, Venezuela"
96,00013.372ec9dc663418ca71f7d880a76f117a,"Unknown city, Unknown state, Australia"
97,01378.73df5252cb71f89c885ad49b6ae5fa82,"Unknown city, Unknown state, United States"
98,00360.814557087d32334a92357de3b50ee814,"Unknown city, Unknown state, United States"
99,00577.0b1933615cd59d8348c899158d25f252,"Unknown city, Unknown state, South Korea"
100,00206.0c8362d7e86ddcaf39829800ac40e2ca,"Greenock, Inverclyde, United Kingdom"
101,00469.d2c0c55b686454f38eee312c5e190816,"Unknown city, Unknown state, United States"
102,0195.8b276e08dd05b0131faa8fb24764f205,"Unknown city, Unknown state, United States"
103,00488.29e96da757cc5566c848833e26abdd65,"Stratford-upon-Avon, Warwickshire, United Kingdom"
104,01134.b81ac3ffcbb28b809a471f521d15f14d,"Van Nuys, California, United States"
105,00242.e030c8b1f053037aeffb062f3a34b523,"Unknown city, Unknown state, United Kingdom"
106,00231.8c72952de376293bc38d30834c0bb580,"Unknown city, Unknown state, China"
107,00730.0082840b49157df044b094b1a0461063,"Sunset, South Carolina, United States"
108,00036.5b5e714c8d5b1050a392e55c42070f2c,"Unknown city, Unknown state, United States"
109,00502.0a4d33a87be5e0ac475c75e1ea9962be,"Xinxiang, Henan, China"
110,00422.7d5baf3fe64de8647b41aeb820ada876,"Unknown city, Beijing, China"
111,01080.d8ed30c7817d6b4b3b6ce947f31cc8d4,"Unknown city, Unknown state, United Kingdom"
112,00991.640530b39770c84b4f79c4b26bb47cbd,"Unknown city, Unknown state, China"
113,00669.790cde659c7d18535eb46cfa4398458d,"Lisbon, Lisbon, Portugal"
114,00787.6ac0d6fe5aa9e89ee18e98ed8a556895,Unknown
115,00657.7e326e955029c898a6ddf27e3c79cdf0,"Unknown city, Henan, China"
116,00269.e85c3ef79a5cf21ee1ef7b8df17760e1,"Torre del Campo, Jaen, Spain"
117,00513.08c05933ceb2092de8a4866b91d6f274,"Unknown city, Unknown state, United States"
118,01266.78f4e45d9e8699babb2e38f04d4401a5,"Unknown city, Unknown state, United States"
119,00056.64a6ee24c0b7bf8bdba8340f0a3aafda,"Unknown city, Unknown state, India"
120,0090.9a7e76d58065e29e709161dbe569fe54,"Unknown city, Unknown state, Spain"
121,0147.65cf30538f09402e4d1bd4aa91d9532a,"Unknown city, Unknown state, Egypt"
122,00444.33afc8c1f9cea3100ca8502e8a785259,"Trofarello, Turin, Italy"
123,01262.24bce3d7a8a92bc6d970cf80f0d21660,"Unknown city, Unknown state, Taiwan"
124,00195.0a543c2780491168160570bb6708af86,"Unknown city, Unknown state, Australia"
125,0310.23036f6ae05720b052b73117b6ecb957,"Unknown city, Unknown state, United States"
126,01391.d84700fa88ef00525b05a2d9c64fa654,"Toronto, Ontario, Canada"
127,00137.09969121c8540730f1020b5a700b4c42,"Unknown city, Unknown state, United States"
128,00413.28e8cb47d7429bf78c711079da50fcd4,"Chiyoda-ku, Tokyo, Japan"
129,00211.d976c6049e8448e7c407c124b580e0ba,"Mérida, Mérida, Venezuela"
130,00425.529f44cda59588d37959083c93a79764,"New York, New York, United States"
131,00208.c9e30fc9044cdc50682c2e2d2be4c466,"Ma Tau Wai, Kowloon City, Hong Kong"
132,00127.3500d109361b544b0937523adb763588,"Ningbo, Zhejiang, China"
133,0276.7e2fed586e292a7ad8cde7cb095a2601,"Central, Central and Western District, Hong Kong"
134,01039.40b21f41dcf48f380729c22cd2a62122,"Dublin, Leinster, Ireland"
135,00323.ca6d475963aec4ab799b22805c4b0282,"Ponce, Unknown state, Puerto Rico"
136,0114.c104ada3a249e1e1846c0cd156a303e9,"Unknown city, Unknown state, United States"
137,00107.e6cd2d9f49514710dc85db0fef5b8726,"Unknown city, Unknown state, United States"
138,0047.376bd7728ee94b32bc23429d9c51bae5,"Johnstown, Colorado, United States"
139,00341.523b18faf8eb7b835457f2a0797e034f,"Unknown city, Unknown state, United States"
140,00438.cf76c0c71830d5e8ddec01a597f149a5,"Unknown city, Unknown state, South Korea"
141,01357.531b966b657f95f04a9037ea7100aa9f,"Unknown city, Unknown state, Pakistan"
142,01063.e0318e91412291f881f315287050abe4,"Unknown city, Unknown state, Japan"
143,0323.badf0273f656afd0dfebaa63af1c81f6,"Unknown city, Unknown state, United States"
144,01010.584ca28025d60d58521b4dd453125431,"Unknown city, Unknown state, Austria"
145,0130.e258624171c813fc6057728c0ff0c059,"Xiamen, Fujian, China"
146,00396.bb9671c94f0061c7f2a74cde8a507c1f,"Unknown city, Unknown state, United States"
147,01139.ff436c8a190e4424c602ef5c78402c06,"Unknown city, Unknown state, Italy"
148,0088.f421d8c380fb0c48483f026d243df9d9,"Ningbo, Zhejiang, China"
149,00421.540f120cafbc8a068fcc7f8a372a37b8,"Unknown city, Unknown state, South Korea"
150,00414.583be7dd0ab2492309a3fbd7960e90be,"High Point, North Carolina, United States"
151,00151.34bbdbf089edc6f58080753a166a3cfc,"St Louis, Missouri, United States"
152,00026.da18dbed27ae933172f7a70f860c6ad0,"Unknown city, Unknown state, United States"
153,00328.73c1a9f83d3b1247522c26eb6d74c215,"Unknown city, Unknown state, United States"
154,00983.753f8ed9cf897cce13c3d5358f2d77d4,"Unknown city, Unknown state, United Kingdom"
155,00102.706dc065aaf3946565c4897163a16a33,"Sakai, Ōsaka, Japan"
156,0218.e3fc04cbcfdf224a5fa652779c01029c,"Unknown city, Unknown state, United States"
157,0091.113ec7122d4046a2754bcf70b9fb5299,"Unknown city, Unknown state, Djibouti"
158,01367.d681bf8f9823da056b82da169d2d1715,"Unknown city, Unknown state, Canada"
159,00351.44bc5f6d0afcb67a469191ef2a38fea7,"Unknown city, Unknown state, United States"
160,00093.ca4edc32d2ff8e1dbb5f9c0b15ec435b,"Mito, Ibaraki, Japan"
161,0008.9562918b57e044abfbce260cc875acde,"Unknown city, Unknown state, Canada"
162,00828.530a94ab225feb3c5e5a559f51f6eea2,"Unknown city, Unknown state, United States"
163,00485.94b2cb3aa454e6f6701c42cb1fd35ffe,"Unknown city, Unknown state, Unknown country"
164,0250.80b7bd444753246734e015af7b6d2d65,"Unknown city, Unknown state, United Kingdom"
165,00599.d6d6a2edd58fa7dd6b18787e9867984b,"Unknown city, Unknown state, United States"
166,00432.d0728a14791872b0fdbba5d730bb1426,"Unknown city, Beijing, China"
167,00295.b028688ce4ea3693f4ed591b8ca3f72e,"Unknown city, Unknown state, United States"
168,00873.9aafc086e6f619ccaaed6b3ddb68b013,"Unknown city, Unknown state, United States"
169,0237.4716d6d5a4e89997c6ffc2d56951d57a,"Oosterhout, North Brabant, Netherlands"
170,00387.557966123e4eca02241d2865d521b987,"Central, Central and Western District, Hong Kong"
171,00843.92ef4b70e051724249f825731dfc456a,"Unknown city, Unknown state, United States"
172,00961.906824c03316794c12a95717d0b817e7,"Northampton, Northamptonshire, United Kingdom"
173,00676.db7b2b22e127c1a69e369bc62f7fcedb,"Unknown city, Unknown state, United Kingdom"
174,00853.ee1fe2f2d16e8b27be79a670b8597252,"Nanjing, Jiangsu, China"
175,0015.1b871d654560011a0aaa29bb4e9054f7,"Unknown city, Unknown state, Brazil"
176,00783.a1d194b912e784ca6c4068b14791180f,"Unknown city, Unknown state, United States"
177,00625.e5b3f8bf55addb5884293af0826a7b33,"Unknown city, Unknown state, Unknown country"
178,00808.c072069806eb82f9aaf8d21d39789ea6,"Unknown city, Unknown state, United States"
179,00110.f3c4ebe14b439420b53212332326181f,"Guangzhou, Guangdong, China"
180,0330.a4df526233e524104c3b3554dd8ab5a8,"Nerima, Tokyo, Japan"
181,00912.8432b3cd988d1ee656321730ce7ca056,"Unknown city, Unknown state, United States"
182,00288.e1f7256dd7c447815e6693fd8efea6c9,"Unknown city, Unknown state, United States"
183,00011.61816b9ad167657773a427d890d0468e,"Valinhos, Sao Paulo, Brazil"
184,01265.891c503096bc7f8f3345a40e82f1bf5a,"Unknown city, Jiangsu, China"
185,00632.f90d0f620d4a4c4976e1c5884333f329,"Unknown city, Unknown state, Netherlands"
186,0366.539843bed9a06ae77966ccbc9dc2e103,"Central, Central and Western District, Hong Kong"
187,00080.5a7386cb47846dfef68429241ad80354,"Unknown city, Unknown state, United States"
188,00664.c4f198903588cdc4af385772bb580d90,"Unknown city, Beijing, China"
189,0140.a2bb669eaf743ed123fca884a40cfbd4,"Unknown city, Unknown state, United States"
190,00940.33bee147237876bc1f28b1bf21b586a0,"Unknown city, Unknown state, United States"
191,0327.5df76bb4359800b5408821285677b5cf,"Metairie, Louisiana, United States"
192,0445.2cd5092859b75fdccf3724ab2a4ccafe,"Unknown city, Unknown state, United States"
193,00380.a262abe251ca7cc3026e4e146d9cf817,"Unknown city, Unknown state, United States"
194,0061.c148ebba16540e48c7aae2e3f733a8a3,"Unknown city, Unknown state, Canada"
195,00289.ce923605b55bfa316d567763565e6bc9,"Unknown city, Unknown state, United States"
196,0403.5aa6261d36d1362bcd181ed7738de7f7,"Unknown city, Unknown state, United States"
197,00280.026da2bd191f11081b8d8428134b0c66,"Bassano del Grappa, Provincia di Vicenza, Italy"
198,00134.9f41f4111a33dc1efca04de72e1a105a,"Leander, Texas, United States"
199,0151.6f8f0ec4d897a5285d662ef4ec31d924,"Unknown city, Unknown state, United States"
200,01194.856467d118d99f873794faaf151a524b,"Unknown city, Unknown state, United States"
201,01345.436954c32bbf82773e33853ac26ef881,"Unknown city, Unknown state, United States"
202,0322.77dd826a00ebd4b54a6036394d41da55,"Apeldoorn, Provincie Gelderland, Netherlands"
203,0032.081c3615bc9b91d09b6cbb9239ba8c99,"Turvey, Bedford, United Kingdom"
204,01281.889130eed8c0fabfe29f7ffe62d1afe1,"Unknown city, Unknown state, United States"
205,00447.bd5eb01e94f6d127465bf325513b2516,"Unknown city, Unknown state, Argentina"
206,00363.e6935b8f87c5984a5c6f6656afa1afb4,"Santo Antonio de Posse, Sao Paulo, Brazil"
207,00178.2dbe6aa90dc38758c946170ff92ec8e8,"Unknown city, Unknown state, Taiwan"
208,00838.a9f6a5bc71c83bd73764f3945b5b9074,"Unknown city, Unknown state, United States"
209,0423.3b9b432fa25a7ac8c494db8d2e42cc73,"Unknown city, Unknown state, Bolivia"
210,00318.7ce7e3cbbf4fa9c30a67b7ecdda2342e,"Unknown city, Unknown state, United States"
211,00418.6321175c76411371c109eafc99563d2c,"Unknown city, Unknown state, India"
212,00215.f571ecd203e8d39296419bffc47e4a6a,"Unknown city, Unknown state, China"
213,01314.12c8b5b91bc690f0f0d6fad595150ac6,"London, England, United Kingdom"
214,01285.4bc4cabd8d963b1e33bb56aaaf191328,"OEsthammar, Uppsala, Sweden"
215,00757.c2da75286819a139e27438ca5c5ba762,"Livingston, California, United States"
216,00899.957a4f3be27468470183f978db53c753,"Unknown city, Unknown state, Djibouti"
217,00344.17882edad13c2c761e6d8d99eef5a346,"Denver, Colorado, United States"
218,00261.e679a9947bd481d47fb1a3d83b482fd5,"Quanzhou, Fujian, China"
219,00213.8c42a1c257aa30ff3b3ba668cca59408,"Unknown city, Unknown state, India"
220,00381.004cefb51e415fe5c45a3a97091bf978,"Unknown city, Unknown state, United States"
221,00906.bd0b0986deaf717b1f1a689fd950b97c,"Unknown city, Unknown state, Japan"
222,00478.a4d1f3bcbb571f1c3809bf47cb5ee57f,"Unknown city, Unknown state, South Korea"
223,00126.d6d2197becfb17af452e9117a5f4c947,"Lehi, Utah, United States"
224,00301.3b6fa92db458408d9468360fc034d280,"Santiago, Santiago Metropolitan, Chile"
225,00281.d5147756d766fba6dbc649f786e38bc2,"Unknown city, Unknown state, Brazil"
226,00575.cbefce767b904bb435fd9162d7165e9e,"Unknown city, Unknown state, Canada"
227,0281.7e8c08897b61b9b008238efec9ca8d15,"Pandino, Provincia di Cremona, Italy"
228,00120.58579af867ff9a702cff23e7b8818a59,"Not found, Not found, Not found"
229,00061.bec763248306fb3228141491856ed216,"Castronno, Provincia di Varese, Italy"
230,00138.acef24ad51f98e3192d5a0348543f02f,"Virginia Beach, Virginia, United States"
231,0303.c18c1a0222b07f2b2250fbda5a961b7e,"Unknown city, Unknown state, Taiwan"
232,0031.e68d1195ad2c1900a44de8631f8acd91,"Suzano, Sao Paulo, Brazil"
233,0318.da63a8488410932cf780238ec0ba59eb,"Unknown city, Beijing, China"
234,00105.d8f25617befc5289aa4ed9602457050b,"Unknown city, Unknown state, United States"
235,00581.aacb2f971955bb5688c298776996bd64,"Unknown city, Unknown state, Unknown country"
236,00019.bbc97ad616ffd06e93ce0f821ca8c381,"Unknown city, Unknown state, United States"
237,00342.0dab365fab3be83284b08ac5783335da,"Las Vegas, Nevada, United States"
238,00918.5674181d00a5130b030a6621ccec0819,"Unknown city, Unknown state, South Korea"
239,01186.a323fbbb1fbb04737201f2eb73b7e663,"Unknown city, Unknown state, United States"
240,0086.4b3a02be9a2561ada188d95b4601c01e,"Unknown city, Unknown state, United Kingdom"
241,00592.8da31ade2e259569f9741cca3d98d952,"Unknown city, Fujian, China"
242,0108.4506c2ef846b80b9a7beb90315b22701,"Yangju, Gyeonggi-do, South Korea"
243,00306.9e12acdecaf3825733a1aadc2455b166,"Unknown city, Unknown state, United Kingdom"
244,00244.934aa46481d9503c1fd02a964e19de24,"Los Angeles, California, United States"
245,0203.beb1b157fc74672074061434cc7bad3c,"Unknown city, Unknown state, United States"
246,00931.7b2a622b02577c92587db22228e6e180,"Unknown city, Unknown state, United States"
247,00137.17860a4d8ca9d8d813cc0eb0dfd51e45,"Unknown city, Unknown state, United States"
248,00226.e0e2704cde3bbd561a98042f4a3baf5f,"Prague, Hlavni mesto Praha, Czechia"
249,00574.66c2cbfe0151a4a658cec4e67d6cab14,"Unknown city, Unknown state, France"
250,0492.f2d030fd71d7c3075626195b5c0b56f7,"Shenzhen, Guangdong, China"
251,00296.85aa16f800e0aaf8755cdf23d7e035ff,"Unknown city, Unknown state, United States"
252,01307.270e0fd3d0f0a14a592fcc47f3696e05,"Unknown city, Unknown state, Australia"
253,00976.82ecfa404e2e597e113dc0278c5861c2,"Christchurch, Canterbury, New Zealand"
254,00041.f1b3402799046db3c1f143a911dc085d,"Beijing, Beijing, China"
255,01111.75bdbd4d859574b9e095f9f7b81ed106,"Unknown city, Guangdong, China"
256,00275.87c74dc27e397ccd3b2b581bbefef515,"Unknown city, Unknown state, United States"
257,0415.e241b6184464107168656739bf96c6b9,"Unknown city, Unknown state, United States"
258,0174.3874b6ff3c86a5ebefb558138a6bfb28,"Ochsenfurt, Bavaria, Germany"
259,00036.256602e2cb5a5b373bdd1fb631d9f452,"Unknown city, Unknown state, United States"
260,0482.d2338d94e40e6028a89c0a197ed7c470,"Sao Jose do Rio Preto, Sao Paulo, Brazil"
261,0210.285d263b1a18e67c68ec9fe005253dd0,"Krakow, Lesser Poland, Poland"
262,01147.50120ae9e4f1745bf7a4178b52cd95ca,"Unknown city, Unknown state, United Arab Emirates"
263,0353.27effabff54bfbed52d2c93a1bf0e48a,"Las Vegas, Nevada, United States"
264,0017.49ab70c7a4042cb1c695a0e59a6ede54,"Seoul, Seoul, South Korea"
265,01146.f8a114b8bf65962ec02a1bcc2241e5d7,"Unknown city, Unknown state, Saudi Arabia"
266,0364.8e5f3385c2deb2c0c32794b403851ec4,"Philadelphia, Pennsylvania, United States"
267,00366.d0ae92900c398d9adf1dd68d35350a21,"Unknown city, Unknown state, Unknown country"
268,00143.95e60a4160434f341761931c65844a38,"Unknown city, Unknown state, United States"
269,00444.2657e8ab181a4ba04b6515d5c379b9f0,"Unknown city, Unknown state, Unknown country"
270,00001.317e78fa8ee2f54cd4890fdc09ba8176,"Unknown city, Unknown state, China"
271,00482.980c7ceb9333bc5027cd8d1d360a8c6f,"Unknown city, Unknown state, Brazil"
272,0459.5d8701dbedee666b885d456475f0301d,"Santa Monica, California, United States"
273,01302.6e23012bc215fef128943c14c7d2c83f,"Clovis, New Mexico, United States"
274,00989.fc0fb4f524ee3a0879d74b0034cd7398,"Arequipa, Arequipa, Peru"
275,0233.e9834d55f8185a84ce8a047b2eba2139,"Unknown city, Unknown state, United States"
276,00811.1a510ce29a20ec57048d6b29d0056d57,"Unknown city, Zhejiang, China"
277,00627.4e9619c454da17a27d4a66c87583dd49,"Unknown city, Unknown state, United States"
278,0089.51c746428bb5e2793a1c04ce1e0c72c1,"Odintsovo, Moscow Oblast, Russia"
279,00327.1f6320c5ad43180ccad57610c646c6a3,"Unknown city, Unknown state, United States"
280,00745.a0f2c78f1a75fe880532f0c432aa12d2,"Unknown city, Unknown state, United States"
281,01277.6763a79fad1f1b39cb7d5b7faf92ea98,"Dubai, Dubai, United Arab Emirates"
282,00141.29b1847b5d4131c536a812cdc88326eb,"Unknown city, Unknown state, United States"
283,00021.effe1449462a9d7ad7af0f1c94b1a237,"Unknown city, Unknown state, United States"
284,00376.8d9a34535bac5fbccdbb8ea5392c82d8,"Unknown city, Unknown state, United States"
285,0154.e39fc51ffdb9c2ecd480ce972078aeaa,"Johnstown, Colorado, United States"
286,00174.516721408a0d043ffc5258ecc49e907a,"Unknown city, Unknown state, Brazil"
287,01311.43bfe86df65d53c5f7ca2365dc12582b,"Unknown city, Unknown state, United States"
288,00435.69467ebbdbdd2d891624bf8fccda579f,"Unknown city, Unknown state, Spain"
289,00228.cf58326ab05a757c7e759acc8d6b360d,"Oosterhout, North Brabant, Netherlands"
290,00279.1d58a13e343c1e53aca2ed2121a3f815,"Unknown city, Unknown state, United States"
291,00224.1b3430b101a8a8b22493c4948fcbe9cc,"Taipei, Taipei City, Taiwan"
292,00028.60393e49c90f750226bee6381eb3e69d,"Unknown city, Unknown state, United States"
293,0019.939e70d8367f315193e4bc5be80dc262,"Unknown city, Unknown state, United States"
294,00269.456d57b46b4c84fe5057b5cc63620057,"Unknown city, Unknown state, United States"
295,00586.6ffe1b192d01dc82c33e866ddabd2a79,"Al Ain, Abu Dhabi, United Arab Emirates"
296,01269.aa905c10b8358328fb77d2f900e4491f,"Redmond, Washington, United States"
297,00665.86f20f73c5ac6205b5b79f3877638ee5,"Brampton, Ontario, Canada"
298,00572.4657e353354321dfd7c39c6a07a90452,"Unknown city, Unknown state, United States"
299,0376.d87b4313e6c43a986060d57a0b8515a6,"Denver, Colorado, United States"
300,00088.1673f91313df07da1a18b2fc458dd4c4,"Istanbul, Istanbul, Turkey"
301,00282.262dbcdc9fb22384ac5b6fc159aba4cb,"Northampton, Northamptonshire, United Kingdom"
302,01254.2c2055d2ef2995122c3babea81fe54b9,"Miami Beach, Florida, United States"
303,0054.839a9c0a07f13718570da944986a898a,"Unknown city, Unknown state, United States"
304,00466.ecb11c98ec4511b5422b20476d935bd1,"Unknown city, Unknown state, United States"
305,00020.7d36d16fd2be07c4f6a5616590cdea07,"Unknown city, Unknown state, United States"
306,00455.c48d026b0aae9a1a14e9ab1193a2a5f3,"Baní, Provincia de Peravia, Dominican Republic"
307,00066.6afbb1258bcf3e4d59d53c847a84e469,"Unknown city, Unknown state, Canada"
308,01105.2582a4afba9b0b06bed5d48e3e8b29df,"Quanzhou, Fujian, China"
309,00024.621bea2c6e0ebb2eb7ac00a38dfe6b00,"Unknown city, Unknown state, United States"
310,00345.53eb1900901ea7c0b512d555e919b881,"Unknown city, Unknown state, United States"
